product_id,product_name,description,category,sub_category,brand,price,cost,stock_quantity
100,Penguin Open-architected executive pricing structure,Economic economy role feeling report left opportunity might write entire tonight foreign hear certainly.,Books,since,Penguin,644.39,308.41,139
101,Wayfair Automated value-added website,Place some woman add play structure down however.,Home & Garden,activity,Wayfair,276.22,182.0,336
102,Wilson Re-engineered mission-critical matrices,Could thank wife if yeah law enjoy key.,Sports,size,Wilson,163.8,79.52,382
103,HarperCollins Grass-roots solution-oriented throughput,Under front throughout effort southern maintain nature professional property garden.,Books,natural,HarperCollins,358.44,194.34,159
104,Amazon Basics Fundamental asymmetric toolset,Interview agent myself behind window store build require.,Home & Garden,card,Amazon Basics,713.08,302.15,386
105,Penguin Monitored fault-tolerant knowledge user,Network vote whom will consumer star those memory center quite simply cup seat moment sister none most another mouth much really young coach.,Books,cold,Penguin,553.41,340.24,226
106,Under Armour Cross-platform systemic concept,Difficult us respond must western interest dark any wide husband hope miss instead live focus return feel avoid remain property decade safe order at sense cell lose.,Sports,college,Under Armour,221.41,115.63,347
107,Macmillan Virtual dynamic infrastructure,Position hospital cover strong audience white.,Books,fact,Macmillan,447.92,268.2,306
108,Samsung Devolved impactful capability,Want charge kitchen public set action bring find. Sign out discussion just. Must particular child they.,Electronics,somebody,Samsung,268.2,110.17,148
109,IKEA Up-sized global flexibility,High through both letter one.,Home & Garden,under,IKEA,30.29,13.79,194
110,HarperCollins Triple-buffered system-worthy utilization,Serve different billion young owner out guy thank professor student white instead point tend exactly right every edge meet information student work bar big.,Books,sure,HarperCollins,586.81,255.13,441
111,LG Pre-emptive dynamic paradigm,Determine its entire young step maintain parent not parent that property among blue study poor better believe whom draw oil remember page spring responsibility.,Electronics,among,LG,46.14,19.18,293
112,Puma Monitored secondary toolset,System of mission vote spend physical sing protect agent note agency watch better turn soon rock support effect stand general wind eat land.,Sports,anyone,Puma,271.23,151.86,485
113,Macmillan Inverse logistical standardization,Shoulder civil next tell possible scientist send.,Books,statement,Macmillan,1004.01,417.69,432
114,Apple Enhanced modular array,Goal Mrs source whole first figure trial bed.,Electronics,into,Apple,397.92,223.48,445
115,Wayfair Intuitive regional methodology,Series dark task magazine front just.,Home & Garden,high,Wayfair,265.0,118.57,324
116,Dell Versatile cohesive concept,Administration couple financial media politics fast. Mrs huge receive cup bed our theory. System certainly future government card history.,Electronics,through,Dell,620.36,259.88,419
117,Adidas User-centric explicit pricing structure,Wife food different step early choice yeah ago difference reason.,Clothing,discuss,Adidas,97.02,60.37,78
118,Apple Fully-configurable directional intranet,Certainly father who tax low keep news your court control million hundred offer total hit end someone.,Electronics,himself,Apple,977.75,476.13,296
119,Reebok Fundamental intermediate hub,Tonight view floor ground when care. Somebody often benefit true world. Movement bit step direction give reduce with.,Sports,tend,Reebok,807.42,325.07,161
120,H&M Face-to-face maximized flexibility,Student least just opportunity ask yet against large practice time live relationship as great western everybody edge to agree our issue share card how product finally.,Clothing,same,H&M,79.56,43.46,28
121,Amazon Basics Synergistic exuding groupware,Now then watch certain much race fire.,Home & Garden,according,Amazon Basics,85.94,46.35,188
122,IKEA Seamless actuating structure,Onto simple audience as including claim create woman.,Home & Garden,staff,IKEA,805.87,325.89,304
123,Macmillan Virtual context-sensitive contingency,Power manager build. Behind idea red rate. High listen suggest consumer find concern.,Books,law,Macmillan,465.22,236.73,230
124,HarperCollins Function-based modular array,Employee customer goal positive bank later.,Books,between,HarperCollins,313.44,167.55,31
125,Wilson Progressive eco-centric adapter,Article news radio believe ability world actually force fill son nothing hear attorney common PM marriage movement wish best raise choice hear computer key suffer sign medical.,Sports,teach,Wilson,938.93,407.37,330
126,Nike Organic 4thgeneration process improvement,Very thousand soldier build various various blue raise operation cold between cover.,Clothing,clear,Nike,239.83,131.39,81
127,Wayfair Seamless global knowledgebase,Story six want protect assume east center. Could identify group true TV specific travel. Better mind professional fly month offer mother hour.,Home & Garden,office,Wayfair,811.48,459.79,26
128,IKEA Stand-alone dedicated forecast,Career shake fall phone identify help make make focus machine home marriage skill expert range area story could become throughout.,Home & Garden,small,IKEA,337.88,171.55,436
129,HarperCollins Re-engineered needs-based conglomeration,School move another field could who appear stay.,Books,TV,HarperCollins,346.58,173.35,179
130,Target Optional user-facing migration,Support meet race and Democrat lead control develop fly research.,Home & Garden,mission,Target,157.4,73.19,286
131,Under Armour Expanded object-oriented productivity,Administration two deal ready under above drive sport. Worker would step head study and. Out perform election two.,Sports,response,Under Armour,859.46,408.46,350
132,Penguin Re-engineered tertiary product,Daughter these say evening real indeed including everything too stage major outside phone house receive last production development point.,Books,business,Penguin,590.43,326.55,92
133,Zara Diverse mobile architecture,Mr cold science western resource reason.,Clothing,feel,Zara,893.47,474.36,70
134,Nike Public-key executive forecast,End set house those dark beat suffer customer million along long born also hold base really attack job he scene kind shoulder production mean window shoulder.,Clothing,share,Nike,347.96,154.94,378
135,Penguin Intuitive 6thgeneration open system,We game wear two glass customer popular hospital check factor as contain.,Books,day,Penguin,786.28,334.35,78
136,Adidas Managed stable success,Agent key successful own explain claim natural fish born assume million admit result right focus although top range accept about around hold note.,Clothing,tough,Adidas,928.76,417.36,224
137,LG Face-to-face well-modulated product,Nor available power. Visit population executive pattern last security raise. Economic woman PM look together lawyer these difference.,Electronics,few,LG,407.84,188.51,385
138,Spalding Sharable upward-trending conglomeration,Yourself think happy again south century least represent must dinner I style good walk inside individual safe know home hair for.,Sports,inside,Spalding,454.06,271.67,427
139,Zara Devolved uniform moderator,Early Republican nothing way role. Guy leg television society hear fill hotel like. Present feel strategy simple perhaps anything describe.,Clothing,ok,Zara,679.43,342.37,398
140,Reebok Diverse stable info-mediaries,It wall agency deal note common worker. Shoulder political offer song character first early. Several main particular shake.,Sports,nice,Reebok,660.28,268.46,70
141,IKEA User-centric responsive alliance,Skin beat across television apply system finish top data character defense subject guy training.,Home & Garden,past,IKEA,761.48,324.18,433
142,Penguin Organized methodical Graphical User Interface,Face big no too charge indeed.,Books,no,Penguin,331.65,149.68,463
143,HarperCollins Secured incremental complexity,Need light work ready tough wish professional. Training best always they. Here color after read stand us once.,Books,court,HarperCollins,588.29,417.21,452
144,IKEA Organized 3rdgeneration matrix,Gas fund be have concern perhaps quality true book various whether culture plant factor society skill great worker manager perform opportunity yard half education message word.,Home & Garden,well,IKEA,378.77,213.3,41
145,HomeDepot Assimilated mobile functionalities,Appear draw fill large. Front evening yet prevent process four. Candidate within person.,Home & Garden,simple,HomeDepot,57.55,23.81,405
146,Adidas Re-engineered 3rdgeneration framework,Current like home receive establish heart. Sort table six imagine garden wall. Need major entire tree try.,Clothing,become,Adidas,69.07,28.77,388
147,Puma Synchronized foreground migration,Age campaign seven drug computer.,Sports,attention,Puma,743.61,311.52,110
148,Levi's Distributed object-oriented website,Single tell act add southern. Audience old whole wide piece former professor partner. Region current second ball.,Clothing,benefit,Levi's,955.85,470.71,121
149,IKEA Universal background ability,Social do anyone bag fly more live culture write painting control explain put ten article continue according compare culture century my win record.,Home & Garden,scientist,IKEA,60.25,33.4,56
150,Reebok Virtual asynchronous core,Support series direction house. Father include political design economy general drive according. Example claim article management total.,Sports,as,Reebok,561.25,272.67,149
151,Wilson Secured web-enabled Internet solution,Purpose together knowledge with. Five sign trial recently. Question assume energy style late score lose matter.,Sports,source,Wilson,494.49,311.26,43
152,Simon & Schuster Pre-emptive foreground moratorium,Direction color real important they. Type suffer win less tonight laugh. Scene history wear them.,Books,story,Simon & Schuster,83.35,43.16,283
153,LG Intuitive homogeneous product,Human add social product common or contain believe hospital change front against hot field western.,Electronics,often,LG,592.19,437.93,382
154,Sony Grass-roots discrete core,Parent material itself surface maintain program government. At follow live eye. Million management describe make whatever.,Electronics,program,Sony,679.28,396.37,395
155,Simon & Schuster Diverse global product,Range investment business can example. Southern ten hard wife as language. Early war read travel total plant.,Books,week,Simon & Schuster,129.84,75.37,425
156,Puma Phased zero tolerance focus group,Future soldier recognize top whole sit occur treat remain participant.,Sports,tax,Puma,726.59,319.55,397
157,Wilson Fully-configurable mobile open system,Three finish thing his chance focus more leg too.,Sports,your,Wilson,208.01,153.79,21
158,Wayfair Upgradable encompassing architecture,Hope cover show Republican hair sing listen development able green per no situation what machine fire third customer specific could type painting fast.,Home & Garden,ask,Wayfair,652.92,262.54,385
159,Zara User-centric content-based moderator,Executive so institution stand action end century agent prepare several bad let travel challenge personal new order serve blue event every relationship law clear.,Clothing,career,Zara,413.67,184.92,63
160,Target Inverse 3rdgeneration capability,Test need hard firm result nearly pick position how force structure alone executive.,Home & Garden,others,Target,977.29,445.85,498
161,H&M Versatile non-volatile analyzer,Argue response car ask attack charge mission vote dog senior win full include seem manage nation modern politics how choice state sport large boy treat.,Clothing,every,H&M,607.74,349.11,42
162,Wilson Focused disintermediate approach,Agency poor recently long among serve wear west case floor.,Sports,impact,Wilson,551.2,221.0,150
163,IKEA Versatile scalable secured line,Affect she man prove recent nearly. Customer along director. According reduce ok happy together clearly defense.,Home & Garden,not,IKEA,103.04,49.23,218
164,H&M Adaptive responsive synergy,Example news memory civil cut parent free force employee budget experience agreement owner prepare memory if continue among source sea them customer now section strategy purpose though.,Clothing,television,H&M,246.2,182.26,222
165,IKEA Innovative high-level Local Area Network,Possible discover three. Describe agency actually stop team. Matter result result leader hospital.,Home & Garden,some,IKEA,96.58,46.77,347
166,Nike Down-sized mobile matrices,Others some project visit back blue a all anyone action ever a knowledge rock which best happy position wife score health evidence president father alone build.,Clothing,change,Nike,162.25,79.96,34
167,Zara Fundamental logistical website,Build PM weight society they usually.,Clothing,contain,Zara,457.26,187.45,78
168,Under Armour Advanced bifurcated array,Lay though reason event against none as reality democratic huge help also it letter company actually today prevent.,Sports,speech,Under Armour,426.06,192.29,203
169,Wayfair Grass-roots tertiary forecast,Dark environment provide white could ready special yet analysis none tax next reflect social resource score expert because happen star name health top risk.,Home & Garden,now,Wayfair,190.02,132.31,198
170,Penguin Digitized fresh-thinking support,Imagine oil head work should challenge. Put imagine which beat education case under. Late much quite threat gas truth work.,Books,check,Penguin,222.94,138.27,146
171,Spalding Right-sized global moratorium,Story city sometimes cause staff day really bank. Thing wrong name mind offer effort. Professor clearly dinner report friend bring rule.,Sports,subject,Spalding,162.85,70.09,227
172,Sony Multi-layered neutral infrastructure,Prevent hotel officer seek reach write difficult popular choose really send respond throw wide son manager trouble reason fill sense field decide point week course.,Electronics,admit,Sony,725.55,337.24,153
173,Adidas Assimilated explicit capability,Control simply author effect week instead.,Clothing,help,Adidas,762.12,398.91,102
174,Adidas Switchable impactful access,Feel hold decade investment operation long pass among man all floor all red technology himself much better read per go will make agree although maintain town little.,Clothing,of,Adidas,528.99,397.28,411
175,HarperCollins Cross-group attitude-oriented encryption,Two lawyer see drop worker alone finally since. Describe improve act campaign television sit very. Attorney Congress ever north soon movie.,Books,shake,HarperCollins,434.86,309.85,368
176,Reebok Business-focused eco-centric paradigm,Recently make total fall clear face former body choice study current main accept simply southern.,Sports,western,Reebok,378.49,211.29,162
177,LG Enhanced zero administration implementation,Few development tend on management.,Electronics,sell,LG,457.66,238.26,424
178,Hachette Organic tangible budgetary management,Clearly car without painting. Just happen recognize. Remain today happy.,Books,of,Hachette,243.89,99.16,28
179,Dell Customer-focused intangible leverage,Everything newspaper institution. Beautiful there professor listen. Try trade then building class now professor.,Electronics,like,Dell,127.27,84.98,177
180,Simon & Schuster Switchable needs-based hub,Enjoy at so control including nice discussion challenge card reduce action art small both program one across they case TV team song country listen long between.,Books,important,Simon & Schuster,679.52,424.51,64
181,Amazon Basics Reactive scalable product,Teach audience project tax certainly set local wrong authority clearly.,Home & Garden,produce,Amazon Basics,516.5,271.4,482
182,HarperCollins Versatile incremental product,Visit still image sell amount fly house cover risk health last student different traditional look we meeting image the play drop.,Books,near,HarperCollins,192.42,93.89,473
183,Penguin Horizontal modular throughput,Item all at be through.,Books,child,Penguin,552.79,414.37,328
184,Simon & Schuster Visionary secondary analyzer,Everyone exactly practice would game student. Force final way memory history that read receive. Out skill case front reality window mouth pattern.,Books,at,Simon & Schuster,730.61,329.05,254
185,Simon & Schuster Function-based responsive flexibility,Themselves organization direction unit food dream course.,Books,follow,Simon & Schuster,539.54,324.53,413
186,Under Armour Ergonomic full-range model,Everything our prove could party skin soon read.,Sports,customer,Under Armour,493.82,232.24,212
187,Puma Synergized systemic hierarchy,Need daughter leg minute bring reveal factor. Day so store consumer positive. Heart hot response usually learn game effort.,Sports,away,Puma,223.02,109.97,375
188,Target Function-based bottom-line implementation,Worker about country various until lawyer yard on everyone note current anything into word other live hit budget Congress guess soon approach suggest everyone nature environmental.,Home & Garden,step,Target,129.24,74.08,238
189,Sony Cross-platform value-added software,Daughter through note act front person everyone involve discover.,Electronics,present,Sony,338.32,230.3,484
190,Reebok Robust object-oriented system engine,Until government door age once. Commercial whom himself my admit. Before science without especially.,Sports,mention,Reebok,527.6,214.89,478
191,Simon & Schuster Decentralized bandwidth-monitored encryption,Determine least close community detail blue draw final often outside hit degree beyond bank Republican kind school his past herself must even.,Books,upon,Simon & Schuster,153.62,103.02,450
192,Target Synergistic mobile Internet solution,Garden again medical hold kind day certain. Over recognize help small. Design government ever resource together.,Home & Garden,hundred,Target,52.0,21.36,110
193,Simon & Schuster Right-sized methodical algorithm,During recently laugh son home generation herself. Job knowledge interest join give especially treatment. Long collection table population out.,Books,take,Simon & Schuster,55.42,33.84,344
194,Under Armour Exclusive 5thgeneration implementation,Answer direction religious city past need. Bad use laugh fall teach. That control important coach at.,Sports,try,Under Armour,632.39,272.98,372
195,Target Cross-group regional application,Pressure six west walk compare nature walk thus door space crime Republican attack big stage condition buy leg set rich check usually early across talk short.,Home & Garden,must,Target,337.1,189.31,283
196,IKEA Ameliorated motivating middleware,Hour cold light suffer. Technology strong off evidence early. Report require class paper.,Home & Garden,and,IKEA,366.82,199.31,319
197,Penguin Cloned homogeneous challenge,Expert more majority. Nearly risk threat level positive mind. Officer study if edge view cold teach call.,Books,although,Penguin,103.44,73.05,285
198,HomeDepot Expanded asynchronous policy,Success break tough him federal agency maintain seek democratic simple seek last opportunity serve cause soldier how central too tough education.,Home & Garden,inside,HomeDepot,205.5,107.54,70
199,Target Persistent transitional Local Area Network,Think leg indeed anything way today two far apply let hit president item our great mention local value than look good.,Home & Garden,daughter,Target,391.08,264.47,476
200,Simon & Schuster Integrated motivating concept,Yeah certainly represent especially agency despite minute agency idea sometimes least perform.,Books,feel,Simon & Schuster,223.07,89.63,172
